id,comName,sciName,howMany,locName,locId,lat,lng,obsDt,
URN:CornellLabOfOrnithology:EBIRD:OBS2015948913,Common Wood-Pigeon,Columba palumbus,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948918,Eurasian Blackbird,Turdus merula,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948921,Eurasian Kestrel,Falco tinnunculus,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948920,Eurasian Magpie,Pica pica,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948914,European Serin,Serinus serinus,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948906,Iberian Green Woodpecker,Picus sharpei,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948919,Little Egret,Egretta garzetta,1,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948915,Montagu's Harrier,Circus pygargus,4,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948911,Sardinian Warbler,Curruca melanocephala,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948916,Western Marsh Harrier,Circus aeruginosus,4,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2015948917,Yellow-legged Gull,Larus michahellis,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,31/03/2024
URN:CornellLabOfOrnithology:EBIRD:OBS2100141961,Black-headed Gull,Chroicocephalus ridibundus,2,Pink Lake Viewpoint,L18511688,380.193.592,-0.7402039,28/04/2024
